product_id,contact_sheet_items,category,title_draft,image_files,video_files,notes,confidence
cnp-001,01|02,bangle,Light lavender jade bangle,IMG_2072.PNG,80559560ce9f755987507957f03bc9da.MOV,"User-confirmed pair: contact sheet 1,2.",confirmed
cnp-002,03|04,earrings,Green drop earrings model-worn,IMG_2078.PNG,3e9b6aa67495fb634995f9420e5b0eba.MP4,"User-confirmed pair: contact sheet 3,4.",confirmed
cnp-003,05|06|14,earrings,Green trapezoid jade earrings,IMG_2083.PNG|IMG_2111.PNG,4e51bfa1ca738383565e65d2e89daab8.MP4,"User-confirmed group: contact sheet 5,6,14. Item 14 is the extra image/poster for this product.",confirmed
cnp-004,07|09,earrings,Orange rectangular earrings,IMG_2087.PNG,36967937ef33606142869ee20da06192.MP4,"User-confirmed pair: contact sheet 7,9.",confirmed
cnp-005,08|10,ring,Green jade flower ring,IMG_2088.PNG|IMG_2089.PNG,,"User-confirmed pair: contact sheet 8,10. Both files are images.",confirmed
cnp-006,11|12,bracelet,Lavender bead bracelet on slate,IMG_2092.PNG,34a806243fb4a851218f7a7a29d77052.MP4,"User-confirmed pair: contact sheet 11,12.",confirmed
cnp-007,13|25,bangle,Blue-white jade bangle lake scene,IMG_2133.PNG,7994c6a7dac2e6eab5bb02bc2798d618.MP4,"User-confirmed pair: contact sheet 13,25.",confirmed
cnp-008,15|16,earrings,Green stud earrings on display stand,IMG_2113.PNG,49cf925f22770c5db061c665585b0b9a.MP4,"User-confirmed pair: contact sheet 15,16.",confirmed
cnp-009,17|18,necklace,Green bead necklace with pendant,IMG_2117.PNG,17a3602fedb4a7c557345f452d15832f.MP4,"User-confirmed pair: contact sheet 17,18.",confirmed
cnp-010,19|24,bracelet,Lavender bead bracelet moon scene,IMG_2128.PNG,c328bdd024e215117b75098335ac17e6.MP4,"User-confirmed pair: contact sheet 19,24.",confirmed
cnp-011,20|22,earrings,Green jade knot earrings on leaf,IMG_2127.PNG,f742cc8a549c6b15764e59940a8606e7.MP4,"User-confirmed pair: contact sheet 20,22.",confirmed
cnp-012,21|23,earrings,Green jade knot earrings on peach stone,IMG_2125.PNG,7ae8a6333c7a9c6d238116202c916ba0.MP4,"User-confirmed pair: contact sheet 21,23.",confirmed
